group	label	showSelected1
1	Cluster 8: 57/879 pixels shown, logFC -1.4 to 1.2, log10(p) 0.0 to 3.1	8
1	Cluster 11: 8/1630 pixels shown, logFC -0.1 to 1.7, log10(p) 0.0 to 45.0	11
1	Cluster 13: 51/339 pixels shown, logFC -1.7 to 1.2, log10(p) 0.0 to 2.4	13
1	Cluster 20: 340/340 pixels shown, logFC -0.4 to 1.2, log10(p) 0.0 to 51.3	20
1	Cluster 24: 899/956 pixels shown, logFC -0.7 to 0.6, log10(p) 0.0 to 2.4	24
1	Cluster 25: 7/29 pixels shown, logFC 1.1 to 1.3, log10(p) 36.6 to 74.3	25
1	Cluster 31: 78/489 pixels shown, logFC -0.5 to 0.4, log10(p) 0.0 to 2.9	31
1	Cluster 54: 1/463 pixels shown, logFC -0.5 to 1.6, log10(p) 0.0 to 17.0	54
1	Cluster 57: 547/727 pixels shown, logFC -0.9 to 0.8, log10(p) 0.0 to 3.0	57
1	Cluster 60: 564/1010 pixels shown, logFC -0.9 to 1.0, log10(p) 0.0 to 3.0	60
1	Cluster 64: 251/399 pixels shown, logFC -0.3 to 1.5, log10(p) 0.0 to 23.2	64
1	Cluster 68: 170/621 pixels shown, logFC -1.1 to 0.9, log10(p) 0.0 to 3.0	68
1	Cluster 76: 183/273 pixels shown, logFC -2.5 to 1.9, log10(p) 0.0 to 2.5	76
1	Cluster 84: 43/43 pixels shown, logFC -0.1 to 0.0, log10(p) 0.0 to 1.2	84
1	Cluster 87: 29/29 pixels shown, logFC -0.7 to 1.0, log10(p) 0.0 to 2.4	87
1	Cluster 92: 89/89 pixels shown, logFC -1.4 to 0.5, log10(p) 0.0 to 2.6	92
1	Cluster 106: 205/276 pixels shown, logFC -1.3 to 1.1, log10(p) 0.0 to 2.7	106
1	Cluster 113: 4/611 pixels shown, logFC -5.5 to 1.9, log10(p) 0.0 to 3.8	113
1	Cluster 115: 57/57 pixels shown, logFC -0.8 to 0.6, log10(p) 0.0 to 1.5	115
1	Cluster 121: 912/1956 pixels shown, logFC -0.5 to 0.5, log10(p) 0.0 to 2.6	121
1	Cluster 168: 45/45 pixels shown, logFC -0.3 to 0.1, log10(p) 0.0 to 2.3	168
1	Cluster 172: 28/28 pixels shown, logFC -0.2 to -0.0, log10(p) 0.2 to 1.9	172
1	Cluster 197: 6/168 pixels shown, logFC -0.9 to 1.0, log10(p) 0.0 to 2.9	197
1	Cluster 203: 10/60 pixels shown, logFC -0.2 to 0.0, log10(p) 0.0 to 1.5	203
1	Cluster 211: 19/25 pixels shown, logFC -0.1 to 1.2, log10(p) 0.2 to 79.4	211
1	Cluster 221: 240/240 pixels shown, logFC -0.4 to 0.4, log10(p) 0.0 to 2.6	221
1	Cluster 233: 19/19 pixels shown, logFC -0.4 to 0.8, log10(p) 0.0 to 1.3	233
1	Cluster 235: 1/176 pixels shown, logFC -1.1 to 1.2, log10(p) 0.0 to 2.1	235
1	Cluster 263: 58/58 pixels shown, logFC -0.5 to 0.5, log10(p) 0.0 to 1.7	263
1	Cluster 294: 51/51 pixels shown, logFC -1.0 to 1.0, log10(p) 0.0 to 2.1	294
1	Cluster 336: 28/94 pixels shown, logFC -0.1 to -0.0, log10(p) 0.1 to 1.4	336
